Overall Rank,Date,Player,Team,Opponent,Game,Side,Position,Projected FS,Sim Mean,Last 5 Avg FS,Last 10 Avg FS,Last 15 Avg FS,Last 5 Fantasy Scores,Last 10 Fantasy Scores,Last 15 Fantasy Scores,P Over 2.5 FS %,P Over 3.0 FS %,P Over 3.5 FS %,P Over 4.0 FS %,P Over 4.5 FS %,P Over 5.0 FS %,P Over 5.5 FS %,P Over 6.0 FS %,P Over 6.5 FS %,P Over 7.0 FS %,P Over 7.5 FS %,P Over 8.0 FS %,P Over 8.5 FS %,P Over 9.0 FS %,P Over 9.5 FS %,AI Score,Grade,Suggested Lean,Lineup Spot,Lineup Source,Today Lineup Spot,Last 7 Mode Spot,Starts in Last 7,Last 7 Lineup Spots,Lineup Consistency %,Expected PA,Rest/Usage Note,Recent Start Guess 14,Usage Factor,Opp Pitcher,Opp Pitcher Hand,Pitcher ERA,Pitcher WHIP,Pitcher H/BF,Pitcher HR/BF,Pitcher BB/BF,Bullpen ERA,Bullpen WHIP,Bullpen H/BF,Bullpen HR/BF,Venue,Park Factor,Weather Factor,Temp F,Wind MPH,Wind Direction,Precip %,Weather Note,PA,AB,AVG,OBP,SLG,OPS,Hand Split PA,Hand Split OPS,Season H,Season 2B,Season 3B,Season HR,Season R,Season RBI,Season BB,Season HBP,Season SB,Last 5 Fantasy Score Details,Last 10 Fantasy Score Details,Last 15 Fantasy Score Details,Recent FS Games Available,Last 7 FS/G,Last 14 FS/G,Last 14 AVG,14-Game Batter Status,Last 30 FS/G,Last 14 FS/PA,Last 14 Hit Rate,Last 14 XBH Rate,Last 14 HR Rate,Last 14 BB Rate,Last 14 SB Rate,Sim Median,Sim Std,P25,P75,P90,Single Rate,Double Rate,Triple Rate,HR Rate,BB Rate,HBP Rate,Run Rate Model,RBI Rate Model,SB Rate,Confidence
11,2026-07-12,Luis García Jr.,WSH,NYY,NYY @ WSH,HOME,1B,10.36,9.8,8.8,11.8,13.2,2|3|0|33|6,2|3|0|33|6|9|24|0|32|9,2|3|0|33|6|9|24|0|32|9|9|5|41|25|0,80.8,71.2,71.2,68.4,68.4,57.6,57.6,54.7,54.7,48.5,48.5,43.7,43.7,40.8,40.8,260.77,A+,Forecast 10.4 FS | Sim 9.8,2,Last 7 Confirmed,,2.0,5,2-8-2-2-2,80.0,4.94,Regular,14,1.04,Will Warren,R,4.03,1.36,0.2354,0.0326,0.0769,3.37,1.19,0.2043,0.0273,Nationals Park,1.0,1.03,82.8,8.1,58.0,8.0,warm,319,303,0.284,0.317,0.554,0.871,278,0.909,86,16,3,20,45,68,15,0,4,2026-07-12 vs New York Yankees: 2 FS|2026-07-11 vs New York Yankees: 3 FS|2026-07-10 vs New York Yankees: 0 FS|2026-07-08 vs Houston Astros: 33 FS|2026-07-07 vs Houston Astros: 6 FS,2026-07-12 vs New York Yankees: 2 FS|2026-07-11 vs New York Yankees: 3 FS|2026-07-10 vs New York Yankees: 0 FS|2026-07-08 vs Houston Astros: 33 FS|2026-07-07 vs Houston Astros: 6 FS|2026-07-06 vs Houston Astros: 9 FS|2026-07-05 vs Pittsburgh Pirates: 24 FS|2026-07-04 vs Pittsburgh Pirates: 0 FS|2026-07-03 vs Pittsburgh Pirates: 32 FS|2026-07-01 @ Boston Red Sox: 9 FS,2026-07-12 vs New York Yankees: 2 FS|2026-07-11 vs New York Yankees: 3 FS|2026-07-10 vs New York Yankees: 0 FS|2026-07-08 vs Houston Astros: 33 FS|2026-07-07 vs Houston Astros: 6 FS|2026-07-06 vs Houston Astros: 9 FS|2026-07-05 vs Pittsburgh Pirates: 24 FS|2026-07-04 vs Pittsburgh Pirates: 0 FS|2026-07-03 vs Pittsburgh Pirates: 32 FS|2026-07-01 @ Boston Red Sox: 9 FS|2026-06-30 @ Boston Red Sox: 9 FS|2026-06-29 @ Boston Red Sox: 5 FS|2026-06-28 @ Baltimore Orioles: 41 FS|2026-06-27 @ Baltimore Orioles: 25 FS|2026-06-26 @ Baltimore Orioles: 0 FS,15,11.0,14.14,0.382,Hot,11.27,3.356,0.3559,0.1864,0.1186,0.0678,0.0339,7.0,8.69,3.0,15.0,22.0,0.1464,0.0513,0.0053,0.0553,0.0618,0.0061,0.1304,0.1726,0.0129,Low
12,2026-07-12,Heliot Ramos,SF,COL,COL @ SF,HOME,LF,10.48,10.5,3.8,8.8,9.2,6|5|0|5|3,6|5|0|5|3|10|44|5|7|3,6|5|0|5|3|10|44|5|7|3|26|0|14|7|3,87.5,78.0,78.0,75.8,75.8,65.9,65.9,62.1,62.1,56.2,56.2,50.0,50.0,46.9,46.9,258.85,A,Forecast 10.5 FS | Sim 10.5,1,Today Posted,1.0,1.0,6,1-1-1-1-1-3,83.3,5.04,Regular,14,1.04,Michael Lorenzen,R,6.22,1.77,0.2894,0.0302,0.0821,5.44,1.52,0.2549,0.0343,Oracle Park,0.94,1.0,75.8,2.9,279.0,0.0,neutral,235,222,0.275,0.311,0.468,0.779,178,0.738,61,13,3,8,31,28,12,0,0,2026-07-12 vs Colorado Rockies: 6 FS|2026-07-11 vs Colorado Rockies: 5 FS|2026-07-10 vs Colorado Rockies: 0 FS|2026-07-09 vs Colorado Rockies: 5 FS|2026-07-08 vs Toronto Blue Jays: 3 FS,2026-07-12 vs Colorado Rockies: 6 FS|2026-07-11 vs Colorado Rockies: 5 FS|2026-07-10 vs Colorado Rockies: 0 FS|2026-07-09 vs Colorado Rockies: 5 FS|2026-07-08 vs Toronto Blue Jays: 3 FS|2026-07-07 vs Toronto Blue Jays: 10 FS|2026-07-06 vs Toronto Blue Jays: 44 FS|2026-07-05 @ Colorado Rockies: 5 FS|2026-07-04 @ Colorado Rockies: 7 FS|2026-07-03 @ Colorado Rockies: 3 FS,2026-07-12 vs Colorado Rockies: 6 FS|2026-07-11 vs Colorado Rockies: 5 FS|2026-07-10 vs Colorado Rockies: 0 FS|2026-07-09 vs Colorado Rockies: 5 FS|2026-07-08 vs Toronto Blue Jays: 3 FS|2026-07-07 vs Toronto Blue Jays: 10 FS|2026-07-06 vs Toronto Blue Jays: 44 FS|2026-07-05 @ Colorado Rockies: 5 FS|2026-07-04 @ Colorado Rockies: 7 FS|2026-07-03 @ Colorado Rockies: 3 FS|2026-07-01 @ Arizona Diamondbacks: 26 FS|2026-06-30 @ Arizona Diamondbacks: 0 FS|2026-06-29 @ Arizona Diamondbacks: 14 FS|2026-06-28 vs Atlanta Braves: 7 FS|2026-05-15 @ Athletics: 3 FS,15,10.43,9.64,0.298,Neutral,8.2,2.288,0.2881,0.1186,0.0678,0.0339,0.0,9.0,8.14,5.0,15.0,22.0,0.2086,0.0591,0.01,0.0381,0.0651,0.007,0.1453,0.1098,0.0081,Medium
13,2026-07-12,Yordan Alvarez,HOU,TEX,HOU @ TEX,AWAY,DH,10.19,9.85,10.8,12.1,10.33,10|27|17|0|0,10|27|17|0|0|3|0|39|14|11,10|27|17|0|0|3|0|39|14|11|26|2|6|0|0,82.0,74.4,74.4,69.8,69.8,60.1,60.1,56.2,56.2,48.9,48.9,44.4,44.4,40.4,40.4,253.36,A,Forecast 10.2 FS | Sim 9.8,2,Today Posted,2.0,2.0,6,2-2-2-2-2-2,100.0,5.02,Regular,14,1.04,MacKenzie Gore,L,4.63,1.29,0.2098,0.0268,0.0915,4.13,1.25,0.218,0.033,Globe Life Field,1.02,1.0,,,,,Indoor/retractable neutral,420,349,0.318,0.426,0.633,1.059,110,0.896,111,17,0,31,65,70,63,5,1,2026-07-12 @ Texas Rangers: 10 FS|2026-07-11 @ Texas Rangers: 27 FS|2026-07-10 @ Texas Rangers: 17 FS|2026-07-08 @ Washington Nationals: 0 FS|2026-07-07 @ Washington Nationals: 0 FS,2026-07-12 @ Texas Rangers: 10 FS|2026-07-11 @ Texas Rangers: 27 FS|2026-07-10 @ Texas Rangers: 17 FS|2026-07-08 @ Washington Nationals: 0 FS|2026-07-07 @ Washington Nationals: 0 FS|2026-07-06 @ Washington Nationals: 3 FS|2026-07-05 vs Tampa Bay Rays: 0 FS|2026-07-04 vs Tampa Bay Rays: 39 FS|2026-07-03 vs Tampa Bay Rays: 14 FS|2026-07-01 vs Minnesota Twins: 11 FS,2026-07-12 @ Texas Rangers: 10 FS|2026-07-11 @ Texas Rangers: 27 FS|2026-07-10 @ Texas Rangers: 17 FS|2026-07-08 @ Washington Nationals: 0 FS|2026-07-07 @ Washington Nationals: 0 FS|2026-07-06 @ Washington Nationals: 3 FS|2026-07-05 vs Tampa Bay Rays: 0 FS|2026-07-04 vs Tampa Bay Rays: 39 FS|2026-07-03 vs Tampa Bay Rays: 14 FS|2026-07-01 vs Minnesota Twins: 11 FS|2026-06-30 vs Minnesota Twins: 26 FS|2026-06-29 vs Minnesota Twins: 2 FS|2026-06-28 @ Detroit Tigers: 6 FS|2026-06-26 @ Detroit Tigers: 0 FS|2026-06-25 @ Detroit Tigers: 0 FS,15,8.14,11.07,0.321,Hot,10.03,2.5,0.2742,0.1129,0.0968,0.129,0.0,7.0,8.35,3.0,15.0,22.0,0.145,0.0377,0.0026,0.0529,0.1119,0.0113,0.1393,0.1451,0.0081,Low
14,2026-07-12,Seiya Suzuki,CHC,CIN,CHC @ CIN,AWAY,RF,10.25,10.22,13.8,10.3,11.27,5|9|8|29|18,5|9|8|29|18|0|0|0|2|32,5|9|8|29|18|0|0|0|2|32|8|14|7|19|18,83.7,76.5,76.5,72.0,72.0,62.3,62.3,58.6,58.6,51.6,51.6,47.2,47.2,43.0,43.0,253.35,A,Forecast 10.2 FS | Sim 10.2,2,Today Posted,2.0,4.0,6,2-4-4-4-3-4,66.7,4.94,Regular,14,1.04,Andrew Abbott,L,4.11,1.42,0.221,0.035,0.105,4.52,1.44,0.2127,0.034,Great American Ball Park,1.08,1.03,81.4,7.6,50.0,7.0,warm,343,302,0.268,0.347,0.464,0.811,96,0.927,81,14,0,15,47,48,35,3,1,2026-07-12 @ Cincinnati Reds: 5 FS|2026-07-11 @ Cincinnati Reds: 9 FS|2026-07-10 @ Cincinnati Reds: 8 FS|2026-07-09 @ Baltimore Orioles: 29 FS|2026-07-08 @ Baltimore Orioles: 18 FS,2026-07-12 @ Cincinnati Reds: 5 FS|2026-07-11 @ Cincinnati Reds: 9 FS|2026-07-10 @ Cincinnati Reds: 8 FS|2026-07-09 @ Baltimore Orioles: 29 FS|2026-07-08 @ Baltimore Orioles: 18 FS|2026-07-07 @ Baltimore Orioles: 0 FS|2026-07-05 vs St. Louis Cardinals: 0 FS|2026-07-04 vs St. Louis Cardinals: 0 FS|2026-07-03 vs St. Louis Cardinals: 2 FS|2026-07-01 vs San Diego Padres: 32 FS,2026-07-12 @ Cincinnati Reds: 5 FS|2026-07-11 @ Cincinnati Reds: 9 FS|2026-07-10 @ Cincinnati Reds: 8 FS|2026-07-09 @ Baltimore Orioles: 29 FS|2026-07-08 @ Baltimore Orioles: 18 FS|2026-07-07 @ Baltimore Orioles: 0 FS|2026-07-05 vs St. Louis Cardinals: 0 FS|2026-07-04 vs St. Louis Cardinals: 0 FS|2026-07-03 vs St. Louis Cardinals: 2 FS|2026-07-01 vs San Diego Padres: 32 FS|2026-06-30 vs San Diego Padres: 8 FS|2026-06-29 vs San Diego Padres: 14 FS|2026-06-28 @ Milwaukee Brewers: 7 FS|2026-06-27 @ Milwaukee Brewers: 19 FS|2026-06-26 @ Milwaukee Brewers: 18 FS,15,9.86,10.79,0.3,Neutral,9.57,2.359,0.2812,0.125,0.0625,0.0469,0.0156,8.0,8.37,4.0,16.0,22.0,0.1503,0.0501,0.0029,0.0505,0.1145,0.012,0.1341,0.1366,0.0098,Medium
15,2026-07-12,Brandon Nimmo,TEX,HOU,HOU @ TEX,HOME,RF,10.51,10.55,11.2,7.4,8.73,18|0|12|24|2,18|0|12|24|2|0|5|0|6|7,18|0|12|24|2|0|5|0|6|7|9|2|0|24|22,86.8,79.5,79.5,76.1,76.1,66.7,66.7,62.5,62.5,55.5,55.5,50.0,50.0,45.9,45.9,251.92,A,Forecast 10.5 FS | Sim 10.6,4,Today Posted,4.0,4.0,5,4-3-4-3-4,60.0,4.82,Regular,13,1.04,Cristian Javier,R,9.98,2.28,0.2532,0.038,0.1899,4.81,1.41,0.2093,0.0363,Globe Life Field,1.02,1.0,,,,,Indoor/retractable neutral,384,346,0.263,0.331,0.425,0.756,289,0.746,91,21,4,9,38,34,30,6,4,2026-07-12 vs Houston Astros: 18 FS|2026-07-11 vs Houston Astros: 0 FS|2026-07-10 vs Houston Astros: 12 FS|2026-07-09 vs Los Angeles Angels: 24 FS|2026-07-08 vs Los Angeles Angels: 2 FS,2026-07-12 vs Houston Astros: 18 FS|2026-07-11 vs Houston Astros: 0 FS|2026-07-10 vs Houston Astros: 12 FS|2026-07-09 vs Los Angeles Angels: 24 FS|2026-07-08 vs Los Angeles Angels: 2 FS|2026-07-07 vs Los Angeles Angels: 0 FS|2026-07-05 vs Detroit Tigers: 5 FS|2026-07-04 vs Detroit Tigers: 0 FS|2026-06-28 @ Toronto Blue Jays: 6 FS|2026-06-27 @ Toronto Blue Jays: 7 FS,2026-07-12 vs Houston Astros: 18 FS|2026-07-11 vs Houston Astros: 0 FS|2026-07-10 vs Houston Astros: 12 FS|2026-07-09 vs Los Angeles Angels: 24 FS|2026-07-08 vs Los Angeles Angels: 2 FS|2026-07-07 vs Los Angeles Angels: 0 FS|2026-07-05 vs Detroit Tigers: 5 FS|2026-07-04 vs Detroit Tigers: 0 FS|2026-06-28 @ Toronto Blue Jays: 6 FS|2026-06-27 @ Toronto Blue Jays: 7 FS|2026-06-26 @ Toronto Blue Jays: 9 FS|2026-06-25 @ Toronto Blue Jays: 2 FS|2026-06-24 @ Miami Marlins: 0 FS|2026-06-23 @ Miami Marlins: 24 FS|2026-06-22 @ Miami Marlins: 22 FS,15,8.71,7.79,0.231,Neutral,7.2,1.912,0.2105,0.1053,0.0351,0.0877,0.0175,9.0,8.07,5.0,15.0,22.0,0.1805,0.0633,0.0103,0.0413,0.1114,0.0155,0.1188,0.1404,0.0113,Medium
16,2026-07-12,Ben Rice,NYY,WSH,NYY @ WSH,AWAY,1B,10.02,9.58,15.8,14.2,10.87,12|10|16|38|3,12|10|16|38|3|24|14|3|4|18,12|10|16|38|3|24|14|3|4|18|7|14|0|0|0,80.3,72.5,72.5,68.0,68.0,58.3,58.3,54.9,54.9,47.9,47.9,43.5,43.5,39.9,39.9,249.92,A,Forecast 10.0 FS | Sim 9.6,2,Last 7 Confirmed,,2.0,6,2-2-2-3-2-2,83.3,5.02,Regular,14,1.04,Cade Cavalli,R,3.83,1.35,0.2333,0.0185,0.0739,4.75,1.4,0.2294,0.0359,Nationals Park,1.0,1.03,82.8,8.1,58.0,8.0,warm,390,337,0.279,0.372,0.599,0.971,257,1.041,94,15,3,29,64,68,48,3,2,2026-07-12 @ Washington Nationals: 12 FS|2026-07-11 @ Washington Nationals: 10 FS|2026-07-10 @ Washington Nationals: 16 FS|2026-07-09 @ Tampa Bay Rays: 38 FS|2026-07-08 @ Tampa Bay Rays: 3 FS,2026-07-12 @ Washington Nationals: 12 FS|2026-07-11 @ Washington Nationals: 10 FS|2026-07-10 @ Washington Nationals: 16 FS|2026-07-09 @ Tampa Bay Rays: 38 FS|2026-07-08 @ Tampa Bay Rays: 3 FS|2026-07-07 @ Tampa Bay Rays: 24 FS|2026-07-06 @ Tampa Bay Rays: 14 FS|2026-07-05 vs Minnesota Twins: 3 FS|2026-07-04 vs Minnesota Twins: 4 FS|2026-07-03 vs Minnesota Twins: 18 FS,2026-07-12 @ Washington Nationals: 12 FS|2026-07-11 @ Washington Nationals: 10 FS|2026-07-10 @ Washington Nationals: 16 FS|2026-07-09 @ Tampa Bay Rays: 38 FS|2026-07-08 @ Tampa Bay Rays: 3 FS|2026-07-07 @ Tampa Bay Rays: 24 FS|2026-07-06 @ Tampa Bay Rays: 14 FS|2026-07-05 vs Minnesota Twins: 3 FS|2026-07-04 vs Minnesota Twins: 4 FS|2026-07-03 vs Minnesota Twins: 18 FS|2026-07-01 vs Detroit Tigers: 7 FS|2026-06-30 vs Detroit Tigers: 14 FS|2026-06-29 vs Detroit Tigers: 0 FS|2026-06-28 @ Boston Red Sox: 0 FS|2026-06-27 @ Boston Red Sox: 0 FS,15,16.71,11.64,0.294,Neutral,9.07,2.717,0.25,0.1333,0.1167,0.1333,0.0,7.0,8.29,3.0,14.0,21.0,0.1351,0.0413,0.0057,0.0498,0.1031,0.0087,0.1328,0.1537,0.0084,Low
17,2026-07-12,Pete Alonso,BAL,KC,KC @ BAL,HOME,1B,10.28,10.07,11.8,8.6,8.27,5|23|7|8|16,5|23|7|8|16|3|0|19|3|2,5|23|7|8|16|3|0|19|3|2|7|0|16|11|4,83.2,75.7,75.7,71.5,71.5,61.5,61.5,57.6,57.6,50.9,50.9,46.4,46.4,42.4,42.4,249.6,A,Forecast 10.3 FS | Sim 10.1,4,Today Posted,4.0,4.0,7,4-4-4-4-4-4-4,100.0,4.82,Regular,14,1.04,Seth Lugo,R,4.56,1.43,0.2578,0.0333,0.0756,4.95,1.45,0.2332,0.0347,Oriole Park at Camden Yards,1.01,1.03,81.5,8.3,90.0,6.0,warm,419,361,0.252,0.346,0.474,0.82,299,0.879,91,17,0,21,59,65,50,4,2,2026-07-12 vs Kansas City Royals: 5 FS|2026-07-11 vs Kansas City Royals: 23 FS|2026-07-10 vs Kansas City Royals: 7 FS|2026-07-09 vs Chicago Cubs: 8 FS|2026-07-08 vs Chicago Cubs: 16 FS,2026-07-12 vs Kansas City Royals: 5 FS|2026-07-11 vs Kansas City Royals: 23 FS|2026-07-10 vs Kansas City Royals: 7 FS|2026-07-09 vs Chicago Cubs: 8 FS|2026-07-08 vs Chicago Cubs: 16 FS|2026-07-07 vs Chicago Cubs: 3 FS|2026-07-05 @ Cincinnati Reds: 0 FS|2026-07-04 @ Cincinnati Reds: 19 FS|2026-07-03 @ Cincinnati Reds: 3 FS|2026-07-01 vs Chicago White Sox: 2 FS,2026-07-12 vs Kansas City Royals: 5 FS|2026-07-11 vs Kansas City Royals: 23 FS|2026-07-10 vs Kansas City Royals: 7 FS|2026-07-09 vs Chicago Cubs: 8 FS|2026-07-08 vs Chicago Cubs: 16 FS|2026-07-07 vs Chicago Cubs: 3 FS|2026-07-05 @ Cincinnati Reds: 0 FS|2026-07-04 @ Cincinnati Reds: 19 FS|2026-07-03 @ Cincinnati Reds: 3 FS|2026-07-01 vs Chicago White Sox: 2 FS|2026-06-30 vs Chicago White Sox: 7 FS|2026-06-29 vs Chicago White Sox: 0 FS|2026-06-28 vs Washington Nationals: 16 FS|2026-06-27 vs Washington Nationals: 11 FS|2026-06-26 vs Washington Nationals: 4 FS,15,8.86,8.57,0.255,Neutral,9.73,2.0,0.2167,0.1,0.05,0.1333,0.0,8.0,8.34,4.0,15.0,21.0,0.1535,0.0524,0.0029,0.0516,0.1088,0.0112,0.1236,0.1728,0.0081,Low
18,2026-07-12,Bryan Reynolds,PIT,MIL,MIL @ PIT,HOME,LF,10.14,9.72,10.6,11.8,9.8,11|14|4|16|8,11|14|4|16|8|10|14|13|23|5,11|14|4|16|8|10|14|13|23|5|5|0|11|6|7,81.0,73.7,73.7,69.7,69.7,59.7,59.7,55.8,55.8,49.0,49.0,45.0,45.0,41.0,41.0,248.93,A,Forecast 10.1 FS | Sim 9.7,3,Last 7 Confirmed,,3.0,6,3-3-3-3-3-3,100.0,4.92,Regular,14,1.04,Robert Gasser,L,5.24,1.27,0.2239,0.0498,0.0697,3.48,1.17,0.1958,0.0268,PNC Park,0.97,1.03,80.7,2.7,114.0,1.0,warm,422,350,0.283,0.4,0.477,0.877,132,0.95,99,22,2,14,68,59,62,8,7,2026-07-12 vs Milwaukee Brewers: 11 FS|2026-07-11 vs Milwaukee Brewers: 14 FS|2026-07-11 vs Milwaukee Brewers: 4 FS|2026-07-09 vs Atlanta Braves: 16 FS|2026-07-08 vs Atlanta Braves: 8 FS,2026-07-12 vs Milwaukee Brewers: 11 FS|2026-07-11 vs Milwaukee Brewers: 14 FS|2026-07-11 vs Milwaukee Brewers: 4 FS|2026-07-09 vs Atlanta Braves: 16 FS|2026-07-08 vs Atlanta Braves: 8 FS|2026-07-07 vs Atlanta Braves: 10 FS|2026-07-05 @ Washington Nationals: 14 FS|2026-07-04 @ Washington Nationals: 13 FS|2026-07-03 @ Washington Nationals: 23 FS|2026-07-02 @ Philadelphia Phillies: 5 FS,2026-07-12 vs Milwaukee Brewers: 11 FS|2026-07-11 vs Milwaukee Brewers: 14 FS|2026-07-11 vs Milwaukee Brewers: 4 FS|2026-07-09 vs Atlanta Braves: 16 FS|2026-07-08 vs Atlanta Braves: 8 FS|2026-07-07 vs Atlanta Braves: 10 FS|2026-07-05 @ Washington Nationals: 14 FS|2026-07-04 @ Washington Nationals: 13 FS|2026-07-03 @ Washington Nationals: 23 FS|2026-07-02 @ Philadelphia Phillies: 5 FS|2026-07-01 @ Philadelphia Phillies: 5 FS|2026-06-30 @ Philadelphia Phillies: 0 FS|2026-06-29 @ Philadelphia Phillies: 11 FS|2026-06-28 vs Cincinnati Reds: 6 FS|2026-06-27 vs Cincinnati Reds: 7 FS,15,11.0,10.0,0.25,Neutral,10.3,2.188,0.2031,0.0938,0.0469,0.1406,0.0312,7.0,8.22,3.0,15.0,21.0,0.1388,0.0483,0.0034,0.0483,0.1022,0.0138,0.1474,0.1479,0.0143,Low
19,2026-07-12,Elly De La Cruz,CIN,CHC,CHC @ CIN,HOME,SS,10.07,9.82,14.2,10.8,9.93,5|13|24|0|29,5|13|24|0|29|2|0|15|17|3,5|13|24|0|29|2|0|15|17|3|6|10|16|7|2,82.1,73.4,73.4,70.0,70.0,59.8,59.8,56.4,56.4,50.0,50.0,45.1,45.1,42.3,42.3,247.79,A,Forecast 10.1 FS | Sim 9.8,1,Today Posted,1.0,1.0,7,1-1-1-1-1-1-1,100.0,5.04,Regular,14,1.04,Matthew Boyd,L,4.5,1.28,0.2347,0.0255,0.0663,4.33,1.28,0.221,0.0412,Great American Ball Park,1.08,1.03,81.4,7.6,50.0,7.0,warm,340,303,0.274,0.347,0.492,0.839,106,1.047,83,15,3,15,50,44,33,2,14,2026-07-12 vs Chicago Cubs: 5 FS|2026-07-11 vs Chicago Cubs: 13 FS|2026-07-10 vs Chicago Cubs: 24 FS|2026-07-09 vs Philadelphia Phillies: 0 FS|2026-07-08 vs Philadelphia Phillies: 29 FS,2026-07-12 vs Chicago Cubs: 5 FS|2026-07-11 vs Chicago Cubs: 13 FS|2026-07-10 vs Chicago Cubs: 24 FS|2026-07-09 vs Philadelphia Phillies: 0 FS|2026-07-08 vs Philadelphia Phillies: 29 FS|2026-07-07 vs Philadelphia Phillies: 2 FS|2026-07-05 vs Baltimore Orioles: 0 FS|2026-07-04 vs Baltimore Orioles: 15 FS|2026-07-03 vs Baltimore Orioles: 17 FS|2026-07-02 @ Milwaukee Brewers: 3 FS,2026-07-12 vs Chicago Cubs: 5 FS|2026-07-11 vs Chicago Cubs: 13 FS|2026-07-10 vs Chicago Cubs: 24 FS|2026-07-09 vs Philadelphia Phillies: 0 FS|2026-07-08 vs Philadelphia Phillies: 29 FS|2026-07-07 vs Philadelphia Phillies: 2 FS|2026-07-05 vs Baltimore Orioles: 0 FS|2026-07-04 vs Baltimore Orioles: 15 FS|2026-07-03 vs Baltimore Orioles: 17 FS|2026-07-02 @ Milwaukee Brewers: 3 FS|2026-07-01 @ Milwaukee Brewers: 6 FS|2026-06-30 @ Milwaukee Brewers: 10 FS|2026-06-29 @ Milwaukee Brewers: 16 FS|2026-06-28 @ Pittsburgh Pirates: 7 FS|2026-06-27 @ Pittsburgh Pirates: 2 FS,15,10.43,10.5,0.298,Neutral,8.63,2.262,0.2615,0.0923,0.0462,0.1231,0.0615,7.0,8.3,3.0,15.0,21.0,0.1525,0.0489,0.0075,0.0453,0.0796,0.0077,0.1377,0.1081,0.0229,Low
20,2026-07-12,Kazuma Okamoto,TOR,SD,TOR @ SD,AWAY,3B,10.39,10.18,12.8,9.3,9.0,10|4|20|25|5,10|4|20|25|5|14|0|0|3|12,10|4|20|25|5|14|0|0|3|12|2|0|0|19|21,81.2,73.6,73.6,69.0,69.0,59.7,59.7,55.8,55.8,49.6,49.6,45.8,45.8,42.1,42.1,247.18,A,Forecast 10.4 FS | Sim 10.2,4,Today Posted,4.0,3.0,7,5-3-6-4-4-3-3,42.9,4.82,Regular,14,1.04,Germán Márquez,R,5.18,1.49,0.232,0.0552,0.1105,4.23,1.34,0.2189,0.0293,Petco Park,0.94,1.0,77.2,8.6,311.0,5.0,neutral,382,339,0.239,0.319,0.469,0.788,294,0.785,81,12,0,22,50,62,36,5,0,2026-07-12 @ San Diego Padres: 10 FS|2026-07-11 @ San Diego Padres: 4 FS|2026-07-10 @ San Diego Padres: 20 FS|2026-07-08 @ San Francisco Giants: 25 FS|2026-07-07 @ San Francisco Giants: 5 FS,2026-07-12 @ San Diego Padres: 10 FS|2026-07-11 @ San Diego Padres: 4 FS|2026-07-10 @ San Diego Padres: 20 FS|2026-07-08 @ San Francisco Giants: 25 FS|2026-07-07 @ San Francisco Giants: 5 FS|2026-07-06 @ San Francisco Giants: 14 FS|2026-07-05 @ Seattle Mariners: 0 FS|2026-07-04 @ Seattle Mariners: 0 FS|2026-07-03 @ Seattle Mariners: 3 FS|2026-07-01 vs New York Mets: 12 FS,2026-07-12 @ San Diego Padres: 10 FS|2026-07-11 @ San Diego Padres: 4 FS|2026-07-10 @ San Diego Padres: 20 FS|2026-07-08 @ San Francisco Giants: 25 FS|2026-07-07 @ San Francisco Giants: 5 FS|2026-07-06 @ San Francisco Giants: 14 FS|2026-07-05 @ Seattle Mariners: 0 FS|2026-07-04 @ Seattle Mariners: 0 FS|2026-07-03 @ Seattle Mariners: 3 FS|2026-07-01 vs New York Mets: 12 FS|2026-06-29 vs New York Mets: 2 FS|2026-06-28 vs Texas Rangers: 0 FS|2026-06-27 vs Texas Rangers: 0 FS|2026-06-26 vs Texas Rangers: 19 FS|2026-06-25 vs Texas Rangers: 21 FS,15,11.14,8.14,0.226,Neutral,9.0,1.966,0.2069,0.0862,0.069,0.069,0.0,7.0,8.73,3.0,16.0,22.0,0.1384,0.0371,0.0025,0.0656,0.1087,0.0151,0.1208,0.1783,0.0071,Low
